USERNAME	PASSWORD
bubbles	123456789
shimmer	123123
angelic	omgpop
bubbly	qwerty
glimmer	!@#$%^
baby	starwars_12
pink	1111111
little	iloveyou
butterfly	football
sparkly	123456
doll	admin
sweet	starwars_12
sparkles	password
dolly	omgpop
sweetie	qqww1122
sprinkles	ashley
lolly	iloveyou
princess	asdfghjkl
fairy	1111111
honey	ashley
snowflake	1111111
pretty	picture1
sugar	aaron431
cherub	football
lovely	1111111
blossom	qqww1122
sugardaddy	123123
Bandalls	abc123
Wattlexp	abc123
Sweetiele	iloveyou
HyperYauFarer	asdfghjkl
Editussion	picture1
Experthead	admin
Flamesbria	admin
HeroAnhart	ashley
Liveltekah	passw0rd
Linguss	asdfghjkl
Interestec	ashley
FuzzySpuffy	sunshine
Monsterup	123456789
MilkA1Baby	admin
LovesBoost	starwars_12
Edgymnerch	aaron431
Ortspoon	sunshine
Oranolio	picture1
OneMama	omgpop
Dravenfact	asdfghjkl
Reallychel	123123
Reakefit	123123
Popularkiya	qwerty
Breacche	asdfghjkl
Blikimore	passw0rd
StoneWellForever	asdfghjkl
Simmson	picture1
BrightHulk	1111111
Bootecia	123456
Spuffyffet	123456789
Rozalthiric	sunshine
Bookman	sunshine
noopas	omgpop
ImortalHanshi	football
uffaw	passw0rd
hitherto	picture1
ligature	sunshine
guidon	aaron431
hoary	admin
limner	omgpop
guilloche	abc123
hobbledehoy	starwars_12
titmouse	starwars_12
holystone	aaron431
hobgoblin	qwerty
tittup	!@#$%^
homeric	qwerty
intagliated	football
tmesis	abc123
tormentil	123456
Ecophobia	ashley
Hippophobia	1111111
Scolionophobia	omgpop
Ergophobia	password
Musophobia	123456
Zemmiphobia	qwerty
Geliophobia	123456
Tachophobia	123456
Hadephobia	football
Radiophobia	ashley
Terrorist	password
Warzone	starwars_12
Tripaloski	qwerty
Pollos	!@#$%^
Hermanos	starwars_12
Benjamin	football
Ruski	picture1
Peace	picture1
Love	qwerty
Etho	omgpop
Nickmerks	football
ImExpel	1111111
Scubbi	asdfghjkl
qwe	qwe
